event_type,event_count,account_count,events_per_account,month_count,events_per_account_per_month
ReadingOwnedBook,729831,88375,8.258342291371994,6.0000000000000000,1.3763903818953322
FirstLivebookAccess,635041,88375,7.1857538896746815,6.0000000000000000,1.1976256482791137
FirstManningAccess,634160,88375,7.175785007072136,6.0000000000000000,1.195964167845356
EBookDownloaded,274216,88375,3.102868458274399,6.0000000000000000,0.5171447430457331
ReadingFreePreview,134705,88375,1.5242432814710043,6.0000000000000000,0.25404054691183403
HighlightCreated,118819,88375,1.3444865629420084,6.0000000000000000,0.22408109382366806
FreeContentCheckout,115185,88375,1.3033663366336634,6.0000000000000000,0.21722772277227723
ReadingOpenChapter,97579,88375,1.1041471004243282,6.0000000000000000,0.18402451673738804
ProductTocLivebookLinkOpened,86263,88375,0.9761018387553041,6.0000000000000000,0.16268363979255068
LivebookLogin,61405,88375,0.6948231966053748,6.0000000000000000,0.11580386610089581
DashboardLivebookLinkOpened,47313,88375,0.5353663366336634,6.0000000000000000,0.08922772277227724
WishlistItemAdded,37105,88375,0.4198585572842999,6.0000000000000000,0.06997642621404998
CrossReferenceTermOpened,33606,88375,0.38026591230551626,6.0000000000000000,0.06337765205091937
SearchMade,27250,88375,0.30834512022630833,6.0000000000000000,0.05139085337105139
SearchResultOpened,23695,88375,0.26811881188118813,6.0000000000000000,0.04468646864686469
ProductLookInsideLivebookLinkOpened,22363,88375,0.25304667609618103,6.0000000000000000,0.042174446016030175
BookmarkCreated,10717,88375,0.12126732673267326,6.0000000000000000,0.02021122112211221
EBookRegistration,8749,88375,0.098998585572843,6.0000000000000000,0.0164997642621405
LivebookRegistration,7506,88375,0.08493352192362093,6.0000000000000000,0.014155586987270154
LivebookAccountConfirmation,7100,88375,0.08033946251768034,6.0000000000000000,0.01338991041961339
ExerciseSolved,6888,88375,0.07794059405940594,6.0000000000000000,0.01299009900990099
OrderConfirmationLivebookLinkOpened,6556,88375,0.07418387553041018,6.0000000000000000,0.012363979255068365
AddProductOffering,6365,88375,0.07202263083451202,6.0000000000000000,0.012003771805752003
NoteCreated,5125,88375,0.05799151343705799,6.0000000000000000,0.009665252239509665
UpvoteGiven,4779,88375,0.054076379066478074,6.0000000000000000,0.009012729844413012
GoToManningShoppingCart,4468,88375,0.050557284299858556,6.0000000000000000,0.008426214049976425
ShareableLinkCreated,2736,88375,0.030958981612446958,6.0000000000000000,0.005159830268741159
ShareableLinkOpened,2359,88375,0.026693069306930692,6.0000000000000000,0.004448844884488449
RemoveProductOffering,2114,88375,0.02392079207920792,6.0000000000000000,0.003986798679867987
AddOrUpdateCoupon,1222,88375,0.013827439886845828,6.0000000000000000,0.0023045733144743045
ProductLiveaudioUpsell,816,88375,0.009233380480905233,6.0000000000000000,0.001538896746817539
ProductSeeFreeLinkOpened,162,88375,0.0018330975954738331,6.0000000000000000,0.0003055162659123055
SherlockHolmesClueFound,10,88375,0.00011315417256011315,6.0000000000000000,1.885902876001886e-05
UnknownOriginLivebookLinkOpened,3,88375,3.394625176803395e-05,6.0000000000000000,5.657708628005658e-06
CommentCreated,1,88375,1.1315417256011316e-05,6.0000000000000000,1.885902876001886e-06
