account_id,metric_time,readingownedbook,ebookdownloaded,readingfreepreview,highlightcreated,freecontentcheckout,readingopenchapter,producttoclivebooklinkopened,livebooklogin
00003e3b9e5336685200ae85d21b4f5e,2020-05-16 00:00:00,0,1,0,0,0,0,0,0
000183d7295b5898359736f76320843f,2020-05-16 00:00:00,0,0,0,0,1,0,0,0
0001b5d2fd33d5b98539d39658d69a90,2020-05-16 00:00:00,0,0,0,0,2,0,0,0
000274f21c484b0eb4960d7955599eac,2020-05-16 00:00:00,0,2,0,0,0,0,0,0
00036f182bb0746fc8048d8e0bc785b3,2020-05-16 00:00:00,0,2,0,0,0,0,0,0
0003a36a46798bafcc69637f52f75e95,2020-05-16 00:00:00,28,0,7,0,0,0,0,2
000527a13f12637cfd34616163afbc48,2020-05-16 00:00:00,0,1,0,0,0,0,0,0
000aa02f54c61c18c94096fc563115f8,2020-05-16 00:00:00,0,40,0,0,0,0,0,0
000cdc3702cf96b05e72a68eece67dcc,2020-05-16 00:00:00,10,4,5,0,1,4,3,1
000ef8ac335f247af718708ccadd57ce,2020-05-16 00:00:00,53,6,0,0,0,1,0,2
0012e264db6741aaaf6082905b29f63b,2020-05-16 00:00:00,52,0,0,0,5,11,1,4
0015bfaa7ac6f79caa9ac04f914dad5c,2020-05-16 00:00:00,0,2,0,0,0,0,0,0
001a06f10681659872c09fdd519045db,2020-05-16 00:00:00,0,3,0,0,0,0,0,0
001df71e1892be04725c7cbf397aece5,2020-05-16 00:00:00,0,7,0,0,0,0,0,0
001e6a46dfafc2cbe6cc5b1aa970cfba,2020-05-16 00:00:00,15,0,0,0,0,0,0,0
001f2e5c888ae213605141273b18ada2,2020-05-16 00:00:00,1,0,0,0,1,0,0,0
0021242c17a345cc9e7675e00535472d,2020-05-16 00:00:00,0,0,12,0,0,0,7,1
0022c545e14d176a6dd894c0328cb667,2020-05-16 00:00:00,1,0,0,0,0,0,0,0
002356d41baf765092ce32821f41955c,2020-05-16 00:00:00,0,1,0,0,0,0,0,0
002505b70a75aa46a8150e70385004e3,2020-05-16 00:00:00,21,2,0,0,1,10,1,1
002521f27ad1f719ede1e03d8446e1b4,2020-05-16 00:00:00,0,0,0,0,0,0,0,1
00260ded38386855ed91b85cc2611014,2020-05-16 00:00:00,34,1,0,0,0,0,2,1
0027276dafc05c5355c6481f75612a45,2020-05-16 00:00:00,0,44,0,0,1,0,0,0
00279236e4386e545c4c7a77680650a2,2020-05-16 00:00:00,0,2,0,0,0,0,0,0
0027ace88eac68dc3899495278dcb9b6,2020-05-16 00:00:00,8,6,0,0,0,0,0,0
0028a45e94d8cc0757c127272430e3de,2020-05-16 00:00:00,102,0,0,0,0,0,0,1
0028e3bc9543a665ff92e4946ba5b67a,2020-05-16 00:00:00,0,1,0,0,0,0,0,0
0028f6e9a0a1804b35c9bc8f953fc573,2020-05-16 00:00:00,0,1,0,0,0,0,0,0
002973fbe6e2eced3f1d670d9269ffa2,2020-05-16 00:00:00,2,0,0,0,0,0,0,0
002bc16a6049520c9ad02b6648d5257f,2020-05-16 00:00:00,0,1,0,0,0,0,0,0
002cb6dbefc3c2cbb9e933aadd1a5ddd,2020-05-16 00:00:00,0,0,0,0,1,0,0,0
002d4639e63176546bb6c1482fc62454,2020-05-16 00:00:00,0,9,0,0,1,0,0,0
002d6f357fe825fba5459619ae7e60de,2020-05-16 00:00:00,50,4,0,0,1,8,6,3
002df00a437984a81f2b259ed5877b5d,2020-05-16 00:00:00,0,0,1,0,0,0,0,1
002df7f303dc87efe09ba852914ff4bc,2020-05-16 00:00:00,0,7,0,0,0,0,0,0
002f10e834b34da5dee9dea30ad3baa7,2020-05-16 00:00:00,0,0,6,0,0,0,0,1
002f9c8cee878b64a747a2c211da7d83,2020-05-16 00:00:00,0,9,0,0,1,0,0,0
0030d858e41eb5f73806eac08a3e886a,2020-05-16 00:00:00,1,0,0,0,1,0,0,0
0031a7f73da1b9865eb7658c96002eac,2020-05-16 00:00:00,0,1,0,0,0,0,0,0
0032468f886594b9f0e438f1ee38e8dd,2020-05-16 00:00:00,0,3,0,0,1,0,0,0
0034aea6c24b9404870141103a429197,2020-05-16 00:00:00,0,1,0,0,0,0,0,0
003602cd17126219900b9e39281f4281,2020-05-16 00:00:00,0,9,0,0,0,0,0,0
0036fd5e4cc5e4bb8b956428dc0861e9,2020-05-16 00:00:00,0,1,0,0,0,0,0,0
00373be7ffcf3e6111e9a862cccd24ed,2020-05-16 00:00:00,0,0,0,0,0,0,0,1
003856cedbac298847ddd2847b801feb,2020-05-16 00:00:00,0,2,0,0,0,0,0,0
003a16f6daacf243932585b0cd37666e,2020-05-16 00:00:00,0,0,3,0,0,2,0,2
003a8eb4813be2f8c5ad692ff1866162,2020-05-16 00:00:00,16,0,0,0,0,0,0,1
003d2430185bfc2132ebc5c5553d116e,2020-05-16 00:00:00,0,9,0,0,3,0,0,0
003ee1c7b6c99693ee3eb092bc4408e4,2020-05-16 00:00:00,0,1,0,0,3,0,2,0
003ee750cb181027824c86e4f01db91a,2020-05-16 00:00:00,0,1,0,0,0,0,0,0
