calc_at,avg,count_with_metric,min,max
2020-02-22 00:00:00,,0,,
2020-03-21 00:00:00,60816.000000000000,1,60816,60816
2020-04-18 00:00:00,284222.000000000000,1,284222,284222
2020-05-16 00:00:00,525143.000000000000,1,525143,525143
