calc_at,avg,count_with_metric,min,max
2020-02-22 00:00:00,1.6305815321731591,16147,1,175
2020-03-21 00:00:00,1.6058456127584743,16491,1,71
2020-04-18 00:00:00,1.6051763071043946,17271,1,77
2020-05-16 00:00:00,1.5676969729212108,18797,1,83
