calc_at,avg,count_with_metric,min,max
2020-02-22 00:00:00,5.9997070455544163,6827,1,386
2020-03-21 00:00:00,5.7087520023299840,6867,1,136
2020-04-18 00:00:00,5.7236338797814208,7320,1,149
2020-05-16 00:00:00,5.5373694708435997,8523,1,260
