account_id,observation_date,is_churn,total_events,uniq_prod_ct,total_freebies,pct_reading,pct_downloads_per_book,readingownedbook,ebookdownloaded,readingfreepreview,highlightcreated,freecontentcheckout,readingopenchapter,producttoclivebooklinkopened,livebooklogin
00c0fb4848373dbca5ae0125961fd9f8,2020-03-01,False,20,8,7,0.15000000000000000000,0E-20,3,0,1,0,1,5,10,0
00cc280b32cb0b85504935d1bcdc230b,2020-03-01,True,1,1,0,1.00000000000000000000,0E-20,1,0,0,0,0,0,0,0
00cf1f0767bc367155f27c887bded633,2020-03-01,True,39,4,4,0.64102564102564102564,0E-20,25,0,2,2,0,2,3,3
00d4a2bf30bc0ff62f7e3c43eeab9c66,2020-03-01,True,9,1,0,0.77777777777777777778,0E-20,7,0,0,0,0,0,1,0
00da6c4f7975a722d584f268077d5404,2020-03-01,True,8,3,0,0.12500000000000000000,0E-20,1,0,0,0,0,0,0,0
00db1f2caa85b2316fdd33851d755b8d,2020-03-01,True,99,5,0,0.90909090909090909091,0E-20,90,0,0,0,0,0,0,4
00ded208a2a2a932217ed8cc9c13c1d6,2020-03-01,False,140,5,0,0.86428571428571428571,0.80000000000000000000,121,4,0,1,0,0,0,1
00e26af6ac3b1c1c49d7c3d79c60d000,2020-03-01,True,19,2,0,0.84210526315789473684,1.00000000000000000000,16,2,0,0,0,0,0,1
00e3fc1d6b2a8569e99d958db4d6e14d,2020-03-01,True,9,2,0,0.77777777777777777778,0E-20,7,0,0,0,0,0,1,1
00e97456830bdc44b74812f241c54d79,2020-03-01,True,18,2,0,0.38888888888888888889,0.50000000000000000000,7,1,0,0,0,0,0,1
00f08e7537fd6f77c80bdce0d657bac7,2020-03-01,False,37,15,6,0.16216216216216216216,0.40000000000000000000,6,6,3,0,2,1,6,2
00fb88b10c1af253315c8786941e46fd,2020-03-01,False,54,16,4,0.20370370370370370370,1.00000000000000000000,11,16,0,0,0,4,7,0
0104bbf981796e073c19aa9156e6be18,2020-03-01,True,37,3,1,0.56756756756756756757,2.3333333333333333,21,7,0,0,1,0,0,0
0107067ee953c1bafd00176c7b1c1783,2020-03-01,True,12,5,0,0.33333333333333333333,0.40000000000000000000,4,2,0,0,0,0,1,0
